Slno,State,Total Confirmed cases *,Recovered,Dead,lat,lon
1,Andhra Pradesh,23,1,0,15.9240905,80.1863809
2,Andaman and Nicobar Islands,9,0,0,10.2188344,92.5771329
3,Bihar,15,0,1,25.6440845,85.906508
4,Chandigarh,8,0,0,30.7194022,76.7646552
5,Chhattisgarh,7,0,0,21.6637359,81.8406351
6,Delhi,87,6,2,28.6517178,77.2219388
7,Goa,5,0,0,15.3004543,74.0855134
8,Gujarat,69,1,6,22.4154082,72.031497
9,Haryana,36,18,0,29.0,76.0
10,Himachal Pradesh,3,0,1,31.8167602,77.3493205
11,Jammu and Kashmir,48,2,2,34.0476564,76.7972892
12,Karnataka,83,5,3,14.5203896,75.7223521
13,Kerala,202,19,1,10.3528744,76.5120396
14,Ladakh,13,3,0,33.9456407,77.6568576
15,Madhya Pradesh,47,0,3,23.8143419,77.5340719
16,Maharashtra,198,25,8,19.531932,76.0554568
17,Manipur,1,0,0,24.7208818,93.9229386
18,Mizoram,1,0,0,23.2146169,92.8687612
19,Odisha,3,0,0,20.5431241,84.6897321
20,Puducherry,1,0,0,11.9340568,79.8306447
21,Punjab,38,1,1,30.9293211,75.5004841
22,Rajasthan,59,3,0,26.8105777,73.7684549
23,Tamil Nadu,67,4,1,10.9094334,78.3665347
24,Telengana,71,1,1,17.329125,78.5822228
25,Uttarakhand,7,2,0,30.0919936,79.3217666
26,Uttar Pradesh,82,11,0,27.1303344,80.859666
27,West Bengal,22,0,1,22.9964948,87.6855882
